measurements_parameter,city,location,measurements_value,measurements_lastupdated
O3,,"Nehru Nagar, Delhi - DPCC",6.8,2022-10-31 00:45:00+00:00
CO,,"Ashok Vihar, Delhi - DPCC",800.0,2022-10-30 23:00:00+00:00
PM10,,"Rohini, Delhi - DPCC",345.0,2022-10-31 00:45:00+00:00
NO2,,"Teri Gram, Gurugram - HSPCB",30.75,2022-10-16 16:00:00+00:00
SO2,,"Railway Colony, Guwahati - PCBA",11.32,2022-10-31 01:45:00+00:00
SO2,,"Sector 11, Faridabad - HSPCB",0.07,2022-10-16 15:45:00+00:00
NO2,,"Polayathode, Kollam - Kerala PCB",5.1,2022-10-16 15:45:00+00:00
PM10,,"Kacheripady, Ernakulam - Kerala PCB",18.8,2022-10-16 16:00:00+00:00
CO,,"Kacheripady, Ernakulam - Kerala PCB",1140.0,2022-10-16 16:00:00+00:00
PM10,,"Royapuram, Chennai - TNPCB",11.0,2022-10-16 16:00:00+00:00
SO2,,"Royapuram, Chennai - TNPCB",3.7,2022-10-16 16:00:00+00:00
PM2.5,,"Arumbakkam, Chennai - TNPCB",10.0,2022-10-16 16:00:00+00:00
PM10,,"Arumbakkam, Chennai - TNPCB",11.0,2022-10-16 16:00:00+00:00
SO2,,"Lodhi Road, Delhi - IITM",6.98,2022-08-02 09:30:00+00:00
O3,,"Mulund West, Mumbai - MPCB",9.79,2022-05-14 10:45:00+00:00
NO2,,"Naubad, Bidar - KSPCB",4.9,2022-10-16 10:15:00+00:00
NO2,,"Rajbagh, Srinagar - JKSPCB",0.0,2022-10-16 16:00:00+00:00
PM10,,"SAC ISRO Satellite, Ahmedabad - IITM",66.28,2022-07-07 09:15:00+00:00
CO,,"Kamalnath Nagar, Bettiah - BSPCB",930.0,2022-10-16 15:45:00+00:00
O3,,"Nagla Bhau, Firozabad - UPPCB",0.0,2022-10-31 02:00:00+00:00
PM10,,"D M Colony, Bihar Sharif - BSPCB",108.0,2022-10-31 01:45:00+00:00
SO2,,"Shahjahan Garden, Agra - UPPCB",24.18,2022-10-31 02:00:00+00:00
O3,,"Central Jail, Buxar - BSPCB",16.2,2022-10-31 01:45:00+00:00
NO2,,"Buddhi Vihar, Moradabad - UPPCB",31.05,2022-10-16 16:00:00+00:00
NO2,,"Shivaji Nagar, Jhansi - UPPCB",26.36,2022-10-31 02:00:00+00:00
NO2,,"Raikhad, Ahmedabad - IITM",0.0,2022-07-07 08:45:00+00:00
NO2,,"Bardowali, Agartala - Tripura SPCB",11.34,2022-10-31 02:00:00+00:00
PM10,,"Zero Point GICI, Gangtok - SSPCB",0.0,2022-10-31 01:45:00+00:00
SO2,,"Doon University, Dehradun - UKPCB",0.0,2022-10-16 15:45:00+00:00
O3,,"Vibhab Nagar, Firozabad - UPPCB",27.17,2022-10-31 02:00:00+00:00
SO2,,"IITH Kandi, Hyderabad - TSPCB",5.64,2022-10-31 02:00:00+00:00
O3,,"IITH Kandi, Hyderabad - TSPCB",7.62,2022-10-31 02:00:00+00:00
CO,,"Ramachandrapuram, Hyderabad - TSPCB",770.0,2022-10-31 02:00:00+00:00
PM2.5,,"Rajendra Nagar, Bareilly - UPPCB",63.05,2022-10-31 02:00:00+00:00
SO2,,"Vasanthapuram, Vellore - TNPCB",15.96,2022-10-31 01:45:00+00:00
SO2,,"Nishant Ganj, Lucknow - UPPCB",2.8,2019-08-21 08:15:00+00:00
PM2.5,,"GM Office, Brajrajnagar - OSPCB",0.0,2022-10-14 20:00:00+00:00
NO2,,"ITO, Delhi - CPCB",22.17,2020-01-20 07:15:00+00:00
PM2.5,,"Padmapukur, Howrah - WBPCB",40.8,2022-10-31 01:45:00+00:00
O3,,"Suryakiran Bhawan NCL, Singrauli - MPPCB",16.5,2022-10-16 16:00:00+00:00
PM2.5,,"DTU, Delhi - CPCB",217.0,2022-10-31 01:45:00+00:00
PM2.5,,"GVM Corporation, Visakhapatnam - APPCB",66.0,2022-10-31 02:00:00+00:00
PM2.5,,"Shadipur, Delhi - CPCB",139.2,2022-10-31 02:00:00+00:00
O3,,"Adarsh Nagar, Jaipur - RSPCB",3.41,2022-10-31 02:00:00+00:00
PM2.5,,"Mandir Marg, New Delhi - DPCC",134.0,2018-05-12 04:30:00+00:00
CO,,"Plammoodu, Thiruvananthapuram - Kerala PCB",840.0,2022-10-31 02:00:00+00:00
CO,,"Sanathnagar, Hyderabad - TSPCB",1130.0,2022-10-31 02:00:00+00:00
O3,,"Jawaharlal Nehru Stadium, Delhi - DPCC",200.5,2018-05-10 09:30:00+00:00
CO,,"Sonia Vihar, Delhi - DPCC",0.6,2018-05-11 11:45:00+00:00
CO,,"Dwarka-Sector 8, Delhi - DPCC",1700.0,2018-05-12 05:00:00+00:00
NO2,,"Rabindra Bharati University, Kolkata - WBPCB",15.0,2022-03-24 23:30:00+00:00
SO2,,"IHBAS, Dilshad Garden, Delhi - CPCB",5.9,2022-10-31 01:45:00+00:00
PM2.5,,"Dwarka-Sector 8, Delhi - DPCC",246.0,2022-10-31 00:45:00+00:00
SO2,,"Arya Nagar, Bahadurgarh - HSPCB",8.59,2022-10-31 01:30:00+00:00
O3,,"Arya Nagar, Bahadurgarh - HSPCB",39.26,2022-10-31 01:30:00+00:00
SO2,,"Kalal Majra, Khanna - PPCB",7.95,2022-10-31 01:00:00+00:00
NO2,,"Railway Colony, Guwahati - APCB",8.64,2019-12-24 07:30:00+00:00
CO,,"Phase-4 GIDC, Vatva - GPCB",760.0,2022-10-31 02:00:00+00:00
CO,,"Mahape, Navi Mumbai - MPCB",1130.0,2022-10-16 15:45:00+00:00
O3,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",29.5,2022-10-31 01:45:00+00:00
SO2,,"Murthal, Sonipat - HSPCB",20.33,2020-01-02 06:45:00+00:00
NO2,,"Jawaharlal Nehru Stadium, Delhi - DPCC",88.7,2022-10-31 00:45:00+00:00
O3,,"Worli, Mumbai - MPCB",3.99,2022-10-31 02:00:00+00:00
SO2,,"Worli, Mumbai - MPCB",12.56,2022-10-31 02:00:00+00:00
CO,,"Shrivastav Colony, Damoh - MPPCB",490.0,2022-10-31 02:00:00+00:00
O3,,"Patti Mehar, Ambala - HSPCB",7.91,2022-10-31 01:45:00+00:00
SO2,,"Sector-1, Noida - UPPCB",21.1,2022-10-16 16:00:00+00:00
CO,,"Fort William, Kolkata - WBPCB",540.0,2022-10-31 01:45:00+00:00
CO,,"Yamunapuram, Bulandshahr - UPPCB",1750.0,2022-10-16 16:00:00+00:00
CO,,"Vile Parle West, Mumbai - MPCB",1080.0,2022-10-31 01:45:00+00:00
CO,,"Loni, Ghaziabad - UPPCB",2220.0,2022-10-31 02:00:00+00:00
PM2.5,,"Shyam Nagar, Palwal - HSPCB",17.2,2022-10-31 01:30:00+00:00
PM2.5,,"Sector-7, Kurukshetra - HSPCB",154.81,2022-10-31 01:45:00+00:00
NO2,,"Sikulpuikawn, Aizawl - Mizoram PCB",0.06,2022-10-16 15:45:00+00:00
PM10,,"Ibrahimpur, Vijayapura - KSPCB",38.72,2022-10-16 16:00:00+00:00
PM2.5,,"Income Tax Office, Delhi - CPCB",224.0,2018-02-22 03:45:00+00:00
SO2,,"Lalbagh, DN Park",30.9,2018-02-22 04:00:00+00:00
SO2,,"IHBAS, Delhi - CPCB",6.42,2018-02-22 02:45:00+00:00
PM2.5,,"Haldia, Haldia - WBPCB",24.39,2022-10-31 02:00:00+00:00
PM10,,Collectorate Jodhpur - RSPCB,353.0,2018-02-22 03:45:00+00:00
NO2,,City Railway Station - KSPCB,46.86,2018-02-22 03:00:00+00:00
PM10,,Victoria Memorial - WBSPCB,123.07,2017-10-18 03:15:00+00:00
PM2.5,,Central School,190.61,2018-02-22 04:00:00+00:00
PM2.5,,"Sector-6, Panchkula - HSPCB",19.17,2022-10-31 01:45:00+00:00
PM10,,AAQMS Karve Road Pune,165.0,2018-02-22 03:00:00+00:00
CO,,"Anand Vihar, Delhi - DPCC",400.0,2022-10-31 00:30:00+00:00
O3,,"Model Town, Patiala - PPCB",27.5,2022-10-31 01:45:00+00:00
PM2.5,,"Model Town, Patiala - PPCB",93.44,2022-10-31 01:45:00+00:00
PM2.5,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",10.21,2022-08-02 05:15:00+00:00
SO2,,"MD University, Rohtak - HSPCB",46.43,2020-01-01 11:00:00+00:00
CO,,"Muradpur, Patna - BSPCB",2150.0,2022-10-16 15:45:00+00:00
O3,,"Samanpura, Patna - BSPCB",23.43,2022-10-16 15:45:00+00:00
PM10,,"Bidhannagar, Kolkata - WBPCB",75.34,2022-10-16 15:45:00+00:00
PM10,,"Lumpyngngad, Shillong - Meghalaya PCB",31.0,2022-10-16 16:00:00+00:00
O3,,"Chhoti Gwaltoli, Indore - MPPCB",9.4,2022-10-16 16:00:00+00:00
CO,,"Sanjay Nagar, Ghaziabad - UPPCB",2640.0,2022-10-31 02:00:00+00:00
PM2.5,,"Royapuram, Chennai - TNPCB",2.0,2022-10-16 16:00:00+00:00
CO,,"Kodungaiyur, Chennai - TNPCB",230.0,2022-10-16 16:00:00+00:00
CO,,"Lodhi Road, Delhi - IITM",500.0,2022-08-02 09:30:00+00:00
SO2,,"Revenue Colony-Shivajinagar, Pune - IITM",1.48,2022-07-07 07:15:00+00:00
NO2,,"Chakala-Andheri East, Mumbai - IITM",116.44,2022-10-16 13:00:00+00:00
NO2,,"Alandi, Pune - IITM",11.72,2022-07-21 04:45:00+00:00
O3,,"Kandivali East, Mumbai - MPCB",8.57,2022-10-12 08:45:00+00:00
SO2,,"Panchal Nagar, Gadag - KSPCB",19.22,2022-10-15 09:30:00+00:00
SO2,,"Devaraj Urs Badavane, Davanagere - KSPCB",0.86,2022-10-16 13:00:00+00:00
CO,,"Hadapsar, Pune - IITM",990.0,2022-06-22 08:45:00+00:00
NO2,,"MIT-Kothrud, Pune - IITM",11.64,2022-07-11 05:15:00+00:00
O3,,"MIT-Kothrud, Pune - IITM",214.2,2022-07-11 05:15:00+00:00
PM10,,"Brahmagiri, Udupi - KSPCB",24.0,2022-10-16 01:00:00+00:00
O3,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",0.04,2022-10-16 16:00:00+00:00
O3,,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",10.84,2022-07-08 07:00:00+00:00
NO2,,"Town Hall, Munger - BSPCB",8.8,2022-10-31 01:45:00+00:00
O3,,"Civic Center, Bhilai - Bhilai Steel Plant",0.0,2022-10-12 18:15:00+00:00
O3,,"Kareemganj, Gaya - BSPCB",8.2,2022-10-31 01:45:00+00:00
PM10,,"Dangi Tola, Rajgir - BSPCB",154.0,2022-10-16 15:45:00+00:00
O3,,"Dangi Tola, Rajgir - BSPCB",21.2,2022-10-16 15:45:00+00:00
PM10,,"Forest Rest House, Manguraha - BSPCB",30.0,2022-10-16 14:45:00+00:00
NO2,,"Jigar Colony, Moradabad - UPPCB",8.08,2022-10-31 02:00:00+00:00
PM10,,"Sardar Patel Inter College, Baghpat - UPPCB",230.0,2022-10-31 02:00:00+00:00
PM10,,"DRCC Anandpur, Begusarai - BSPCB",510.0,2022-10-31 01:45:00+00:00
SO2,,"Ashwini Nagar, Haveri - KSPCB",12.93,2022-10-16 16:00:00+00:00
O3,,"Ashwini Nagar, Haveri - KSPCB",14.75,2022-10-16 16:00:00+00:00
NO2,,"DM College of Science, Imphal - Manipur PCB",5.79,2022-10-31 02:00:00+00:00
PM10,,"Manipur University, Imphal - Manipur PCB",18.0,2022-10-15 09:45:00+00:00
O3,,"Kompally Municipal Office, Hyderabad - TSPCB",11.4,2022-10-31 02:00:00+00:00
PM2.5,,"Ramachandrapuram, Hyderabad - TSPCB",47.14,2022-10-31 02:00:00+00:00
PM2.5,,"Kashiram Nagar, Moradabad - UPPCB",40.28,2022-10-31 02:00:00+00:00
PM2.5,,"Crescent University, Chengalpattu - TNPCB",42.0,2022-10-14 04:30:00+00:00
CO,,"Crescent University, Chengalpattu - TNPCB",780.0,2022-10-14 04:30:00+00:00
PM2.5,,"Girls College, Sivasagar - PCBA",12.53,2022-10-31 02:00:00+00:00
CO,,"Pusa, New Delhi - IMD",500.0,2018-05-14 02:00:00+00:00
PM2.5,,"Ardhali Bazar, Varanasi - UPPCB",82.0,2022-10-31 02:00:00+00:00
O3,,"Asansol Court Area, Asansol - WBPCB",59.97,2022-10-31 01:45:00+00:00
O3,,"Shastri Nagar, Jaipur - RSPCB",37.78,2022-10-31 01:45:00+00:00
SO2,,"Sector- 16A, Faridabad - HSPCB",22.27,2022-10-31 02:00:00+00:00
CO,,"NSIT Dwarka, Delhi - CPCB",860.0,2022-10-31 02:00:00+00:00
PM2.5,,"Central University, Hyderabad - TSPCB",52.0,2022-10-31 02:00:00+00:00
PM10,,"GVM Corporation, Visakhapatnam - APPCB",126.0,2022-10-31 02:00:00+00:00
PM2.5,,"Maninagar, Ahmedabad - GPCB",43.94,2022-10-31 01:45:00+00:00
O3,,"Maninagar, Ahmedabad - GPCB",0.64,2022-10-31 01:45:00+00:00
SO2,,"Police Commissionerate, Jaipur - RSPCB",20.22,2022-10-31 01:45:00+00:00
CO,,"Lodhi Road, Delhi - IMD",1940.0,2022-10-16 10:15:00+00:00
NO2,,"Shrinath Puram, Kota - RSPCB",9.54,2022-10-31 02:00:00+00:00
CO,,"ICRISAT Patancheru, Hyderabad - TSPCB",20000.0,2022-03-24 23:30:00+00:00
NO2,,"Velachery Res. Area, Chennai - CPCB",48.0,2022-10-31 01:45:00+00:00
PM2.5,,"Nehru Nagar, Kanpur - UPPCB",209.0,2022-10-31 02:00:00+00:00
SO2,,"Patparganj, Delhi - DPCC",6.9,2018-05-08 06:30:00+00:00
NO2,,"Dwarka-Sector 8, Delhi - DPCC",23.1,2018-05-12 05:00:00+00:00
CO,,"Bandhavgar Colony, Satna - Birla Cement",560.0,2022-10-31 02:00:00+00:00
SO2,,"Manali Village, Chennai - TNPCB",9.44,2019-07-19 05:15:00+00:00
O3,,"Manali Village, Chennai - TNPCB",26.4,2019-07-19 05:15:00+00:00
PM10,,"Vasai West, Mumbai - MPCB",119.76,2022-10-31 02:00:00+00:00
O3,,"Major Dhyan Chand National Stadium, Delhi - DPCC",1.0,2022-10-31 00:45:00+00:00
CO,,"Dwarka-Sector 8, Delhi - DPCC",1400.0,2022-10-31 00:45:00+00:00
SO2,,"Phase-4 GIDC, Vatva - GPCB",3.09,2022-10-31 02:00:00+00:00
PM10,,"Mahape, Navi Mumbai - MPCB",159.0,2022-10-16 15:45:00+00:00
O3,,"H.B. Colony, Bhiwani - HSPCB",10.11,2022-10-31 01:45:00+00:00
PM2.5,,"General Hospital, Mandikhera - HSPCB",27.1,2022-10-31 01:45:00+00:00
NO2,,"Sector-2 IMT, Manesar - HSPCB",66.85,2022-10-31 01:45:00+00:00
SO2,,"Powai, Mumbai - MPCB",21.29,2022-10-16 13:15:00+00:00
O3,,"Sector-18, Panipat - HSPCB",28.04,2022-10-31 01:45:00+00:00
SO2,,"Sion, Mumbai - MPCB",9.56,2022-10-31 01:45:00+00:00
SO2,,"Jai Bhim Nagar, Meerut - UPPCB",11.2,2022-10-31 02:00:00+00:00
NO2,,"Fort William, Kolkata - WBPCB",30.88,2022-10-31 01:45:00+00:00
O3,,"Vile Parle West, Mumbai - MPCB",35.09,2022-10-31 01:45:00+00:00
PM2.5,,"Shyam Nagar, Palwal - HSPCB",131.51,2020-01-01 09:15:00+00:00
CO,,"Chhoti Gwaltoli, Indore - MPPCB",530.0,2020-01-06 09:15:00+00:00
PM10,,"SFTI Kusdihra, Gaya - BSPCB",42.17,2022-10-16 15:30:00+00:00
SO2,,"Khadakpada, Kalyan - MPCB",14.03,2022-10-31 01:45:00+00:00
NO2,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",29.93,2022-07-27 07:30:00+00:00
CO,,"Sikulpuikawn, Aizawl - Mizoram PCB",140.0,2022-10-16 15:45:00+00:00
PM10,,"Jahangirpuri, Delhi - DPCC",399.0,2022-10-31 00:45:00+00:00
PM2.5,,"Delhi Technological University, Delhi - CPCB",451.0,2018-02-22 04:00:00+00:00
SO2,,"Punjabi Bagh, Delhi - DPCC",3.1,2018-02-21 21:15:00+00:00
SO2,,"MD University, Rohtak - HSPCB",13.55,2018-02-22 03:45:00+00:00
PM10,,VK Industrial Area Jaipur - RSPCB,70.2,2017-06-12 05:30:00+00:00
PM10,,Ardhali Bazar,519.0,2018-02-22 03:00:00+00:00
CO,,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",840.0,2018-02-22 03:00:00+00:00
PM2.5,,IGSC Planetarium Complex - Patna - BSPCB,203.0,2018-02-22 03:45:00+00:00
PM2.5,,"Sanathnagar, Hyderabad - TSPCB",53.0,2018-02-22 03:00:00+00:00
NO2,,"Solapur, Solapur - MPCB",56.63,2022-10-31 02:00:00+00:00
O3,,"BTM Layout, Bengaluru - CPCB",18.84,2022-10-16 16:00:00+00:00
SO2,,"Golden Temple, Amritsar - PPCB",7.21,2022-10-31 02:00:00+00:00
SO2,,"Anand Vihar, Hapur - UPPCB",29.2,2022-10-31 02:00:00+00:00
PM2.5,,"Sri Aurobindo Marg, Delhi - DPCC",232.0,2022-10-31 00:45:00+00:00
NO2,,"Anand Vihar, Delhi - DPCC",17.5,2021-09-20 07:45:00+00:00
PM10,,"Industrial Area, Hajipur - BSPCB",205.21,2022-10-16 16:00:00+00:00
PM10,,"Muradpur, Patna - BSPCB",298.3,2022-10-16 15:45:00+00:00
PM2.5,,"Mini Secretariat, Charkhi Dadri - HSPCB",74.0,2022-10-16 16:00:00+00:00
O3,,"T T Nagar, Bhopal - MPPCB",0.9,2022-10-16 16:00:00+00:00
CO,,"Polayathode, Kollam - Kerala PCB",650.0,2022-10-16 15:45:00+00:00
O3,,"Polayathode, Kollam - Kerala PCB",25.01,2022-10-16 15:45:00+00:00
PM10,,"NISE Gwal Pahari, Gurugram - IMD",152.05,2022-10-14 16:15:00+00:00
CO,,"NISE Gwal Pahari, Gurugram - IMD",1930.0,2022-10-14 16:15:00+00:00
PM2.5,,"Chandni Chowk, Delhi - IITM",44.7,2022-08-02 10:30:00+00:00
NO2,,"Lodhi Road, Delhi - IITM",17.15,2022-08-02 09:30:00+00:00
O3,,"Malad West, Mumbai - IITM",2.0,2022-10-16 15:45:00+00:00
CO,,"Mulund West, Mumbai - MPCB",640.0,2022-10-16 15:45:00+00:00
NO2,,"Haji Colony, Raichur - KSPCB",26.5,2022-10-16 09:30:00+00:00
NO2,,"Pan Bazaar, Guwahati - PCBA",3.73,2022-10-16 16:00:00+00:00
PM2.5,,"Rakhial, Ahmedabad - IITM",16.0,2022-07-13 06:30:00+00:00
O3,,"GIFT City, Gandhinagar - IITM",15.22,2022-07-07 09:00:00+00:00
CO,,"SAC ISRO Satellite, Ahmedabad - IITM",0.0,2022-07-07 09:15:00+00:00
PM10,,"IESD Banaras Hindu University, Varanasi - UPPCB",134.3,2022-10-16 15:45:00+00:00
NO2,,"Maldahiya, Varanasi - UPPCB",16.81,2022-10-31 02:00:00+00:00
PM2.5,,"Nagla Bhau, Firozabad - UPPCB",59.48,2022-10-31 02:00:00+00:00
CO,,"Employment Office, Moradabad - UPPCB",1100.0,2022-10-31 02:00:00+00:00
NO2,,"Kareemganj, Gaya - BSPCB",31.3,2022-10-31 01:45:00+00:00
PM10,,"HIMUDA Complex Phase-1, Baddi - HPPCB",68.0,2022-10-31 01:45:00+00:00
NO2,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",2.07,2022-10-31 02:00:00+00:00
O3,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",9.01,2022-10-31 02:00:00+00:00
O3,,"Kumaran College, Tirupur - TNPCB",7.48,2022-10-16 15:45:00+00:00
CO,,"Gulzarpet, Anantapur - APPCB",1250.0,2022-10-31 01:45:00+00:00
CO,,"IITG, Guwahati - PCBA",200.0,2022-10-16 12:15:00+00:00
CO,,"Ardhali Bazar, Varanasi - UPPCB",740.0,2022-10-31 02:00:00+00:00
NO2,,"Gangapur Road, Nashik - MPCB",6.16,2022-10-31 02:00:00+00:00
PM2.5,,"Pimpleshwar Mandir, Thane - MPCB",16.45,2022-05-22 07:45:00+00:00
NO2,,"Peenya, Bengaluru - CPCB",31.84,2022-10-31 01:45:00+00:00
NO2,,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11.8,2022-10-31 02:00:00+00:00
SO2,,"Shastri Nagar, Jaipur - RSPCB",19.65,2022-10-31 01:45:00+00:00
NO2,,"DTU, Delhi - CPCB",40.8,2022-10-31 01:45:00+00:00
SO2,,"Karve Road, Pune - MPCB",300.0,2022-10-10 11:15:00+00:00
PM10,,"Vasundhara, Ghaziabad - UPPCB",293.0,2022-10-31 02:00:00+00:00
CO,,"Ghusuri, Howrah - WBPCB",260.0,2018-05-09 18:15:00+00:00
PM10,,"Jawaharlal Nehru Stadium, Delhi - DPCC",378.0,2018-05-12 06:30:00+00:00
O3,,"Dwarka-Sector 8, Delhi - DPCC",3.1,2022-10-31 00:45:00+00:00
CO,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2200.0,2022-10-31 00:30:00+00:00
O3,,"Sector-10, Gandhinagar - GPCB",1.61,2022-10-31 01:45:00+00:00
SO2,,"Belur Math, Howrah - WBPCB",0.0,2022-10-31 01:45:00+00:00
PM2.5,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",44.0,2022-10-31 01:45:00+00:00
NO2,,"Municipal Corporation Office, Dharuhera -  HSPCB",20.62,2022-10-31 01:45:00+00:00
NO2,,"Chikkaballapur Rural, Chikkaballapur - KSPCB",24.1,2022-10-31 02:00:00+00:00
SO2,,"Borivali East, Mumbai - MPCB",9.58,2022-10-31 02:00:00+00:00
O3,,"Sion, Mumbai - MPCB",7.38,2022-10-31 01:45:00+00:00
O3,,"Shastri Nagar, Narnaul - HSPCB",5.05,2022-10-31 02:00:00+00:00
CO,,"Rishi Nagar, Kaithal - HSPCB",460.0,2019-08-07 05:45:00+00:00
CO,,"Silk Board, Bengaluru - KSPCB",590.0,2022-10-31 02:00:00+00:00
NO2,,"Jai Bhim Nagar, Meerut - UPPCB",88.8,2022-10-31 02:00:00+00:00
CO,,"Knowledge Park - III, Greater Noida - UPPCB",2730.0,2022-10-31 02:00:00+00:00
PM10,,"New Collectorate, Baghpat - UPPCB",301.0,2022-01-31 04:45:00+00:00
PM2.5,,"MD University, Rohtak - HSPCB",132.51,2022-10-31 01:45:00+00:00
PM10,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",60.0,2022-07-27 19:45:00+00:00
PM10,,"Sikulpuikawn, Aizawl - Mizoram PCB",8.0,2022-10-16 15:45:00+00:00
PM10,,"Deen Dayal Nagar, Sagar - MPPCB",77.24,2022-09-28 09:00:00+00:00
NO2,,"East Arjun Nagar, Delhi - CPCB",35.02,2022-01-26 07:00:00+00:00
PM2.5,,"Lalbagh, DN Park",224.64,2018-02-22 04:00:00+00:00
CO,,Alandur Bus Depot,5300.0,2017-10-11 08:45:00+00:00
O3,,Collectorate Jodhpur - RSPCB,5.63,2016-06-24 10:45:00+00:00
SO2,,"Rabindra Bharati University, Kolkata - WBSPCB",0.0,2017-10-28 14:30:00+00:00
SO2,,"Talkatora District Industries Center, Lucknow - CPCB",9.8,2022-10-31 02:00:00+00:00
NO2,,"Talkatora District Industries Center, Lucknow - CPCB",64.18,2022-10-31 02:00:00+00:00
NO2,,Central School,9.56,2018-02-22 04:00:00+00:00
