country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"Ashok Vihar, Delhi - DPCC",800.0,2022-10-30 23:00:00+00:00
India,CO,,"Kacheripady, Ernakulam - Kerala PCB",1140.0,2022-10-16 16:00:00+00:00
India,CO,,"Kamalnath Nagar, Bettiah - BSPCB",930.0,2022-10-16 15:45:00+00:00
India,CO,,"Ramachandrapuram, Hyderabad - TSPCB",770.0,2022-10-31 02:00:00+00:00
India,CO,,"Plammoodu, Thiruvananthapuram - Kerala PCB",840.0,2022-10-31 02:00:00+00:00
India,CO,,"Sanathnagar, Hyderabad - TSPCB",1130.0,2022-10-31 02:00:00+00:00
India,CO,,"Sonia Vihar, Delhi - DPCC",0.6,2018-05-11 11:45:00+00:00
India,CO,,"Dwarka-Sector 8, Delhi - DPCC",1700.0,2018-05-12 05:00:00+00:00
India,CO,,"Phase-4 GIDC, Vatva - GPCB",760.0,2022-10-31 02:00:00+00:00
India,CO,,"Mahape, Navi Mumbai - MPCB",1130.0,2022-10-16 15:45:00+00:00
India,CO,,"Shrivastav Colony, Damoh - MPPCB",490.0,2022-10-31 02:00:00+00:00
India,CO,,"Fort William, Kolkata - WBPCB",540.0,2022-10-31 01:45:00+00:00
India,CO,,"Yamunapuram, Bulandshahr - UPPCB",1750.0,2022-10-16 16:00:00+00:00
India,CO,,"Vile Parle West, Mumbai - MPCB",1080.0,2022-10-31 01:45:00+00:00
India,CO,,"Loni, Ghaziabad - UPPCB",2220.0,2022-10-31 02:00:00+00:00
India,CO,,"Anand Vihar, Delhi - DPCC",400.0,2022-10-31 00:30:00+00:00
India,CO,,"Muradpur, Patna - BSPCB",2150.0,2022-10-16 15:45:00+00:00
India,CO,,"Sanjay Nagar, Ghaziabad - UPPCB",2640.0,2022-10-31 02:00:00+00:00
India,CO,,"Kodungaiyur, Chennai - TNPCB",230.0,2022-10-16 16:00:00+00:00
India,CO,,"Lodhi Road, Delhi - IITM",500.0,2022-08-02 09:30:00+00:00
India,CO,,"Hadapsar, Pune - IITM",990.0,2022-06-22 08:45:00+00:00
India,CO,,"Crescent University, Chengalpattu - TNPCB",780.0,2022-10-14 04:30:00+00:00
India,CO,,"Pusa, New Delhi - IMD",500.0,2018-05-14 02:00:00+00:00
India,CO,,"NSIT Dwarka, Delhi - CPCB",860.0,2022-10-31 02:00:00+00:00
India,CO,,"Lodhi Road, Delhi - IMD",1940.0,2022-10-16 10:15:00+00:00
India,CO,,"ICRISAT Patancheru, Hyderabad - TSPCB",20000.0,2022-03-24 23:30:00+00:00
India,CO,,"Bandhavgar Colony, Satna - Birla Cement",560.0,2022-10-31 02:00:00+00:00
India,CO,,"Dwarka-Sector 8, Delhi - DPCC",1400.0,2022-10-31 00:45:00+00:00
India,CO,,"Chhoti Gwaltoli, Indore - MPPCB",530.0,2020-01-06 09:15:00+00:00
India,CO,,"Sikulpuikawn, Aizawl - Mizoram PCB",140.0,2022-10-16 15:45:00+00:00
India,CO,,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",840.0,2018-02-22 03:00:00+00:00
India,CO,,"Polayathode, Kollam - Kerala PCB",650.0,2022-10-16 15:45:00+00:00
India,CO,,"NISE Gwal Pahari, Gurugram - IMD",1930.0,2022-10-14 16:15:00+00:00
India,CO,,"Mulund West, Mumbai - MPCB",640.0,2022-10-16 15:45:00+00:00
India,CO,,"SAC ISRO Satellite, Ahmedabad - IITM",0.0,2022-07-07 09:15:00+00:00
India,CO,,"Employment Office, Moradabad - UPPCB",1100.0,2022-10-31 02:00:00+00:00
India,CO,,"Gulzarpet, Anantapur - APPCB",1250.0,2022-10-31 01:45:00+00:00
India,CO,,"IITG, Guwahati - PCBA",200.0,2022-10-16 12:15:00+00:00
India,CO,,"Ardhali Bazar, Varanasi - UPPCB",740.0,2022-10-31 02:00:00+00:00
India,CO,,"Ghusuri, Howrah - WBPCB",260.0,2018-05-09 18:15:00+00:00
India,CO,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2200.0,2022-10-31 00:30:00+00:00
India,CO,,"Rishi Nagar, Kaithal - HSPCB",460.0,2019-08-07 05:45:00+00:00
India,CO,,"Silk Board, Bengaluru - KSPCB",590.0,2022-10-31 02:00:00+00:00
India,CO,,"Knowledge Park - III, Greater Noida - UPPCB",2730.0,2022-10-31 02:00:00+00:00
India,CO,,Alandur Bus Depot,5300.0,2017-10-11 08:45:00+00:00
India,CO,,"Burari Crossing, Delhi - IMD",1230.0,2022-08-03 11:00:00+00:00
India,CO,,"ICRISAT Patancheru, Hyderabad - TSPCB",480.0,2022-10-31 01:45:00+00:00
India,CO,,"Ballygunge, Kolkata - WBPCB",1060.0,2022-10-16 16:00:00+00:00
India,CO,,"Chandni Chowk, Delhi - IITM",710.0,2022-08-02 10:30:00+00:00
India,CO,,"IITK, Kanpur - IITK",1330.0,2022-10-16 16:00:00+00:00
India,CO,,"Bombay Castel, Ooty - TNPCB",190.0,2022-10-15 10:45:00+00:00
India,CO,,"PSG College of Arts and Science, Coimbatore - TNPCB",1680.0,2022-10-31 02:00:00+00:00
India,CO,,"Sector16A, Faridabad - HSPCB",10.0,2018-02-07 06:35:00+00:00
India,CO,,"GM Office, Brajrajnagar - OSPCB",1300.0,2022-10-14 20:00:00+00:00
India,CO,,"Chitragupta Nagar, Siwan - BSPCB",790.0,2022-10-31 01:45:00+00:00
India,CO,,"Sector-53, Chandigarh - CPCC",1850.0,2022-10-31 01:45:00+00:00
India,CO,,"Secretariat, Amaravati - APPCB",690.0,2022-10-31 02:00:00+00:00
India,CO,,"Shastri Nagar, Jaipur - RSPCB",30.0,2022-10-31 01:45:00+00:00
India,CO,,"Opp GPO Civil Lines, Nagpur - MPCB",200.0,2022-10-31 00:45:00+00:00
India,CO,,"DTU, Delhi - CPCB",1900.0,2022-10-31 01:45:00+00:00
