country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
Russian Federation,NO2,,Нижняя Масловка,68.2,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Коптевский бул.,21.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Вешняки,0.0,2017-09-04 13:00:00+00:00
Russian Federation,NO2,,WIOŚ Gołdap-Uzdrowisko,5.21179,2019-10-20 13:00:00+00:00
Russian Federation,NO2,,Бирюлево,18.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Глебовская,18.8,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,МГУ,39.5,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,МАДИ,52.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Спиридоновка ул.,18.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Рогово,4.2,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Светлый проезд,29.3,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,党校,4.0,2020-12-31 16:00:00+00:00
Russian Federation,NO2,,Зеленоград 11,11.3,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Туристская,27.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Гурьянова,16.9,2017-09-06 11:00:00+00:00
Russian Federation,NO2,,Кожухово,28.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Народного ополчения,58.1,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Казакова,35.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Ак. Анохина,46.7,2017-09-11 05:00:00+00:00
Russian Federation,NO2,,交通局,6.0,2020-12-31 16:00:00+00:00
Russian Federation,NO2,,环保局,4.0,2021-08-09 11:00:00+00:00
Russian Federation,NO2,,Чаянова,42.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Площадь Гагарина,31.5,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Марьино,20.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Пролетарский проспект,34.4,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Толбухина,19.4,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Бутлерова,27.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Саларьево,13.6,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Зеленоград 16,15.3,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Odense/9155,0.0,2017-01-05 12:00:00+00:00
Russian Federation,NO2,,Полярная ул.,22.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Люблино,17.3,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Семенково,2.5,2017-06-29 10:00:00+00:00
Russian Federation,NO2,,交通局,6.0,2021-08-09 11:00:00+00:00
Russian Federation,NO2,,Капотня,20.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Гурьевский проезд,24.3,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Мелитопольская,11.5,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Головачева,47.7,2017-09-04 04:00:00+00:00
Russian Federation,NO2,Narva,"""Narva""",2.79008,2024-06-26 07:00:00+00:00
Russian Federation,NO2,,大黑河岛(对照点),6.0,2021-08-09 11:00:00+00:00
Russian Federation,NO2,,Останкино 0,16.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Зеленоград 6,11.0,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Троицк,23.9,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Хамовники,52.8,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Щербинка,15.6,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Сухаревская пл.,34.3,2017-09-11 07:00:00+00:00
Russian Federation,NO2,,Новокосино,21.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Кожуховский проезд,55.0,2017-08-11 13:00:00+00:00
Russian Federation,NO2,,пос.Кузнецово,12.7,2017-09-11 08:00:00+00:00
Russian Federation,NO2,,Шаболовка,34.7,2017-09-11 08:00:00+00:00
